Year,Prob,TP
1979,0.535829788947387,Historical
1980,0.507157093591609,Historical
1981,0.612012013226734,Historical
1982,0.532357075556372,Historical
1983,0.623440013379753,Historical
1984,0.557379424022702,Historical
1985,0.431791366162327,Historical
1986,0.447009502848863,Historical
1987,0.442514137532856,Historical
1988,0.594958029160485,Historical
1989,0.409617328160467,Historical
1990,0.491448343458265,Historical
1991,0.353687131219815,Historical
1992,0.67150784666081,Historical
1993,0.382172324570482,Historical
1994,0.494269784026987,Historical
1995,0.515434400648233,Historical
1996,0.437492609373377,Historical
1997,0.441017146975415,Historical
1998,0.499173973830564,Historical
1999,0.431362494730772,Historical
2000,0.478028493860319,Historical
2001,0.466651846161896,Historical
2002,0.385864887893908,Historical
2003,0.435751515413086,Historical
2004,0.464197853876024,Historical
2005,0.450153394061844,Historical
2006,0.364962575452992,Historical
2007,0.537488191845313,Historical
2008,0.463367258961875,Historical
2009,0.52082360058946,Historical
2010,0.641797901419982,Historical
2011,0.452506823590709,Historical
2012,0.484955611511713,Historical
2013,0.458162634043643,Historical
2014,0.394622466227966,Historical
2015,0.404122806703106,Historical
2016,0.943225643479041,Historical
2017,0.447198881514083,Historical
2018,0.480313323041111,Historical
